Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
EAST NORTH CENTRAL,2021,24,,-,2,,5,,5,,,-,16,,66,,329,,,-,13,,86,,170,,,EAST NORTH CENTRAL,20212414,
TENNESSEE,2021,24,,-,3,,4,,9,,2,,6,,15,,209,,2,,6,,35,,71,,TENNESSEE,,20212442,POINT (-86.343226 35.842998)
CONNECTICUT,2021,24,,-,0,,,-,,-,,-,2,,4,,10,,,-,0,,,-,,-,CONNECTICUT,,20212403,POINT (-72.738288 41.575155)
MARYLAND,2021,24,,-,1,,,-,2,,1,,23,,35,,81,,,-,3,,9,,18,,MARYLAND,,20212433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,24,,-,1,,1,,,-,4,,50,,256,,448,,,-,4,,24,,30,,SOUTH CAROLINA,,20212435,POINT (-80.864614 33.878572)
OKLAHOMA,2021,24,,-,0,,,-,,-,,-,0,,,-,2,,,-,2,,,-,5,,OKLAHOMA,,20212446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212465,POINT (145.725693 15.1834)
OHIO,2021,24,,-,1,,2,,,-,,-,13,,34,,143,,,-,6,,41,,65,,OHIO,,20212418,POINT (-82.70936 40.415534)
MINNESOTA,2021,24,,-,0,,,-,,-,,-,2,,1,,54,,,-,1,,,-,4,,MINNESOTA,,20212423,POINT (-94.198308 46.349153)
LOUISIANA,2021,24,,-,2,,1,,,-,5,,42,,143,,250,,,-,3,,,-,21,,LOUISIANA,,20212445,POINT (-91.840238 30.921314)
HAWAII,2021,24,,-,0,,,-,,-,,-,1,,3,,4,,,-,1,,1,,5,,HAWAII,,20212460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,24,1,,2,,8,,7,,11,,102,,914,,1785,,1,,62,,291,,314,,,SOUTH ATLANTIC,20212428,
PENNSYLVANIA,2021,24,,-,1,,,-,1,,,-,5,,18,,76,,,-,4,,16,,23,,PENNSYLVANIA,,20212413,POINT (-77.838886 40.896694)
UTAH,2021,24,,-,1,,1,,2,,,-,1,,4,,9,,,-,2,,6,,7,,UTAH,,20212455,POINT (-111.678222 39.323779)
COLORADO,2021,24,,-,0,,,-,,-,,-,2,,7,,51,,,-,1,,,-,2,,COLORADO,,20212450,POINT (-105.547832 38.998552)
VERMONT,2021,24,,-,0,,,-,,-,,-,2,,4,,2,,,-,1,,1,,,-,VERMONT,,20212408,POINT (-72.662695 44.075252)
KENTUCKY,2021,24,,-,1,,2,,1,,,-,4,,21,,31,,2,,7,,49,,57,,KENTUCKY,,20212440,POINT (-85.290484 37.526683)
PUERTO RICO,2021,24,,N,,NC,,N,,N,,-,0,,,-,10,,,-,0,,,-,,-,PUERTO RICO,,20212467,POINT (-66.414655 18.215692)
MAINE,2021,24,,-,0,,,-,,-,2,,12,,29,,37,,,-,5,,21,,20,,MAINE,,20212404,POINT (-69.06137 45.117911)
VIRGINIA,2021,24,1,,1,,3,,,-,,-,8,,50,,124,,,-,5,,13,,16,,VIRGINIA,,20212436,POINT (-78.666382 37.510861)
ARIZONA,2021,24,,-,3,,7,,2,,,-,3,,12,,30,,,-,1,,4,,10,,ARIZONA,,20212449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,24,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20212464,
WISCONSIN,2021,24,,-,1,,1,,,-,,-,2,,1,,4,,,-,2,,7,,4,,WISCONSIN,,20212419,POINT (-89.732969 44.639954)
IDAHO,2021,24,,-,0,,,-,,-,,-,2,,1,,9,,,-,0,,,-,,-,IDAHO,,20212451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,24,,-,0,,,-,,-,,-,0,,,-,1,,,-,4,,,-,2,,VIRGIN ISLANDS,,20212468,POINT (-64.840836 18.060868)
MICHIGAN,2021,24,,-,1,,,-,2,,,-,2,,5,,10,,,-,2,,17,,25,,MICHIGAN,,20212417,POINT (-85.730977 44.874798)
GEORGIA,2021,24,,-,0,,,-,3,,6,,19,,204,,248,,1,,7,,46,,53,,GEORGIA,,20212432,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,24,,-,1,,,-,1,,4,,6,,43,,28,,,-,8,,20,,11,,,NEW YORK CITY,20212412,
ARKANSAS,2021,24,,-,1,,3,,4,,2,,32,,312,,99,,,-,4,,17,,24,,ARKANSAS,,20212444,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,24,,-,0,,,-,,-,,-,13,,137,,141,,,-,2,,5,,24,,MISSISSIPPI,,20212441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,24,,-,2,,2,,,-,,-,0,,,-,1,,,-,1,,1,,,-,SOUTH DAKOTA,,20212427,POINT (-100.230491 44.43614)
WYOMING,2021,24,,-,0,,,-,,-,,-,2,,1,,1,,,-,0,,,-,1,,WYOMING,,20212456,POINT (-107.55145 42.999627)
MISSOURI,2021,24,,-,3,,,-,8,,,-,7,,6,,232,,,-,2,,,-,11,,MISSOURI,,20212424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,24,,-,2,,6,,3,,6,,19,,163,,292,,1,,8,,41,,67,,,MIDDLE ATLANTIC,20212409,
CALIFORNIA,2021,24,1,,5,,38,,34,,,-,5,,29,,162,,2,,4,,18,,28,,CALIFORNIA,,20212459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,24,,-,0,,,-,,-,,-,4,,,-,63,,,-,3,,14,,29,,WEST VIRGINIA,,20212437,POINT (-80.613729 38.642579)
FLORIDA,2021,24,,-,1,,3,,2,,,-,23,,134,,667,,,-,55,,166,,111,,FLORIDA,,20212431,POINT (-82.420978 28.260731)
MONTANA,2021,24,,-,1,,,-,,-,,-,1,,,-,6,,,-,1,,2,,3,,MONTANA,,20212452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,24,,-,3,,10,,11,,,-,19,,14,,312,,,-,3,,7,,24,,,WEST NORTH CENTRAL,20212420,
MASSACHUSETTS,2021,24,,-,1,,1,,1,,,-,2,,2,,24,,,-,1,,5,,13,,MASSACHUSETTS,,20212405,POINT (-71.481104 42.151077)
MOUNTAIN,2021,24,,-,3,,8,,4,,,-,3,,30,,125,,,-,4,,18,,26,,,MOUNTAIN,20212448,
INDIANA,2021,24,,-,1,,,-,2,,,-,5,,2,,126,,,-,7,,17,,55,,INDIANA,,20212416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,24,,-,0,,,-,,-,,-,1,,1,,4,,,-,0,,,-,1,,,NON-US RESIDENTS,20212469,
US TERRITORIES,2021,24,,-,0,,,-,,-,,-,0,,,-,11,,,-,4,,,-,2,,,US TERRITORIES,20212463,
VERMONT,2021,28,,-,0,,,-,,-,,-,2,,4,,2,,,-,1,,1,,,-,VERMONT,,20212808,POINT (-72.662695 44.075252)
KENTUCKY,2021,28,1,,1,,3,,3,,,-,4,,25,,38,,,-,6,,58,,72,,KENTUCKY,,20212840,POINT (-85.290484 37.526683)
PUERTO RICO,2021,28,,N,,NC,,N,,N,,-,0,,,-,10,,,-,0,,,-,,-,PUERTO RICO,,20212867,POINT (-66.414655 18.215692)
MAINE,2021,28,,-,0,,,-,,-,,-,7,,31,,57,,,-,5,,26,,23,,MAINE,,20212804,POINT (-69.06137 45.117911)
VIRGINIA,2021,28,,-,1,,3,,1,,3,,8,,66,,135,,1,,3,,18,,22,,VIRGINIA,,20212836,POINT (-78.666382 37.510861)
ARIZONA,2021,28,1,,3,,8,,4,,,-,3,,12,,30,,,-,2,,6,,12,,ARIZONA,,20212849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,28,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20212864,
WISCONSIN,2021,28,1,,1,,2,,,-,,-,2,,2,,5,,,-,2,,10,,7,,WISCONSIN,,20212819,POINT (-89.732969 44.639954)
IDAHO,2021,28,,-,0,,,-,,-,,-,2,,1,,10,,,-,0,,,-,,-,IDAHO,,20212851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,28,,-,0,,,-,,-,,-,0,,,-,1,,,-,4,,,-,2,,VIRGIN ISLANDS,,20212868,POINT (-64.840836 18.060868)
MICHIGAN,2021,28,,-,1,,,-,2,,,-,3,,10,,11,,,-,3,,21,,27,,MICHIGAN,,20212817,POINT (-85.730977 44.874798)
GEORGIA,2021,28,,-,1,,,-,3,,4,,19,,239,,282,,,-,8,,52,,63,,GEORGIA,,20212832,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,28,,-,1,,1,,1,,2,,6,,52,,29,,1,,8,,25,,11,,,NEW YORK CITY,20212812,
ARKANSAS,2021,28,,-,1,,3,,4,,5,,32,,327,,135,,,-,4,,17,,30,,ARKANSAS,,20212844,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,28,,-,0,,,-,,-,,-,13,,172,,156,,,-,2,,7,,24,,MISSISSIPPI,,20212841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,28,,-,2,,2,,,-,,-,0,,,-,1,,,-,1,,1,,,-,SOUTH DAKOTA,,20212827,POINT (-100.230491 44.43614)
WYOMING,2021,28,,-,0,,,-,,-,,-,2,,1,,1,,,-,0,,,-,1,,WYOMING,,20212856,POINT (-107.55145 42.999627)
MISSOURI,2021,28,,-,3,,3,,8,,,-,8,,94,,252,,,-,2,,5,,11,,MISSOURI,,20212824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,28,,-,2,,7,,4,,4,,19,,200,,327,,2,,8,,53,,76,,,MIDDLE ATLANTIC,20212809,
CALIFORNIA,2021,28,6,,8,,69,,43,,,-,5,,34,,172,,,-,4,,24,,33,,CALIFORNIA,,20212859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,28,,-,0,,,-,,-,,-,4,,,-,66,,,-,3,,19,,34,,WEST VIRGINIA,,20212837,POINT (-80.613729 38.642579)
FLORIDA,2021,28,,-,1,,3,,2,,,-,23,,155,,709,,,-,55,,206,,134,,FLORIDA,,20212831,POINT (-82.420978 28.260731)
MONTANA,2021,28,,-,1,,,-,,-,,-,1,,,-,6,,,-,1,,2,,3,,MONTANA,,20212852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,28,,-,3,,17,,12,,,-,19,,103,,344,,,-,3,,15,,26,,,WEST NORTH CENTRAL,20212820,
MASSACHUSETTS,2021,28,,-,1,,1,,1,,,-,2,,4,,27,,,-,1,,6,,13,,MASSACHUSETTS,,20212805,POINT (-71.481104 42.151077)
MOUNTAIN,2021,28,1,,3,,11,,9,,,-,3,,32,,126,,,-,4,,22,,30,,,MOUNTAIN,20212848,
INDIANA,2021,28,,-,1,,,-,2,,,-,5,,2,,139,,,-,7,,23,,60,,INDIANA,,20212816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,28,,-,0,,,-,,-,,-,1,,1,,5,,,-,1,,1,,1,,,NON-US RESIDENTS,20212869,
US TERRITORIES,2021,28,,-,0,,,-,,-,,-,0,,,-,11,,,-,4,,,-,2,,,US TERRITORIES,20212863,
DELAWARE,2021,42,,-,0,,,-,,-,,-,3,,8,,28,,,-,2,,4,,6,,DELAWARE,,20214229,POINT (-75.452394 38.994926)
ALABAMA,2021,42,,-,1,,2,,2,,,-,28,,350,,758,,,-,4,,48,,47,,ALABAMA,,20214239,POINT (-86.844516 32.756889)
KANSAS,2021,42,,-,1,,6,,2,,,-,25,,224,,159,,,-,0,,,-,2,,KANSAS,,20214222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,42,,-,1,,1,,1,,,-,35,,526,,368,,,-,5,,51,,107,,NORTH CAROLINA,,20214234,POINT (-79.130883 35.52603)
GUAM,2021,42,,-,0,,,-,,-,,-,1,,2,,,-,,-,1,,1,,,-,GUAM,,20214266,POINT (144.653198 13.3532)
NEW JERSEY,2021,42,,-,0,,,-,1,,,-,7,,47,,129,,,-,2,,1,,40,,NEW JERSEY,,20214210,POINT (-74.655514 40.110253)
NEW MEXICO,2021,42,,-,0,,,-,,-,,-,1,,4,,5,,,-,0,,,-,,-,NEW MEXICO,,20214254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,42,,-,2,,16,,9,,,-,13,,134,,525,,,-,11,,187,,268,,,EAST NORTH CENTRAL,20214214,
TENNESSEE,2021,42,,-,3,,13,,16,,,-,6,,23,,252,,1,,5,,70,,128,,TENNESSEE,,20214242,POINT (-86.343226 35.842998)
CONNECTICUT,2021,42,,-,0,,,-,,-,,-,1,,9,,13,,,-,0,,,-,,-,CONNECTICUT,,20214203,POINT (-72.738288 41.575155)
MARYLAND,2021,42,,-,1,,,-,7,,,-,19,,56,,246,,1,,2,,19,,32,,MARYLAND,,20214233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,42,,-,1,,1,,1,,,-,24,,320,,981,,,-,4,,43,,50,,SOUTH CAROLINA,,20214235,POINT (-80.864614 33.878572)
OKLAHOMA,2021,42,,-,6,,,-,,-,,-,13,,11,,2,,,-,10,,13,,8,,OKLAHOMA,,20214246,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,42,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214265,POINT (145.725693 15.1834)
OHIO,2021,42,,-,2,,7,,,-,,-,8,,50,,255,,,-,5,,85,,111,,OHIO,,20214218,POINT (-82.70936 40.415534)
MINNESOTA,2021,42,,-,1,,,-,1,,,-,2,,11,,65,,,-,1,,5,,7,,MINNESOTA,,20214223,POINT (-94.198308 46.349153)
LOUISIANA,2021,42,,-,1,,2,,2,,2,,22,,180,,677,,,-,3,,19,,35,,LOUISIANA,,20214245,POINT (-91.840238 30.921314)
HAWAII,2021,42,,-,0,,,-,,-,,-,1,,4,,5,,,-,1,,2,,1,,HAWAII,,20214260,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,42,,-,2,,11,,17,,2,,83,,1549,,3238,,1,,59,,583,,700,,,SOUTH ATLANTIC,20214228,
PENNSYLVANIA,2021,42,,-,1,,1,,3,,4,,15,,162,,108,,,-,4,,41,,42,,PENNSYLVANIA,,20214213,POINT (-77.838886 40.896694)
UTAH,2021,42,,-,2,,6,,5,,,-,1,,5,,12,,,-,2,,13,,8,,UTAH,,20214255,POINT (-111.678222 39.323779)
COLORADO,2021,42,,-,1,,,-,7,,,-,2,,12,,85,,,-,2,,,-,9,,COLORADO,,20214250,POINT (-105.547832 38.998552)
VERMONT,2021,42,,-,0,,,-,,-,,-,2,,4,,10,,,-,1,,1,,3,,VERMONT,,20214208,POINT (-72.662695 44.075252)
KENTUCKY,2021,42,,-,1,,6,,6,,,-,4,,28,,51,,,-,5,,69,,99,,KENTUCKY,,20214240,POINT (-85.290484 37.526683)
PUERTO RICO,2021,42,,N,,NC,,N,,N,,-,1,,5,,12,,,-,1,,3,,1,,PUERTO RICO,,20214267,POINT (-66.414655 18.215692)
MAINE,2021,42,,-,2,,3,,,-,,-,6,,43,,119,,,-,5,,29,,34,,MAINE,,20214204,POINT (-69.06137 45.117911)
VIRGINIA,2021,42,,-,2,,6,,2,,,-,14,,110,,184,,,-,3,,23,,35,,VIRGINIA,,20214236,POINT (-78.666382 37.510861)
ARIZONA,2021,42,,-,3,,12,,6,,1,,2,,19,,38,,,-,2,,11,,15,,ARIZONA,,20214249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,42,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20214264,
WISCONSIN,2021,42,,-,1,,4,,,-,,-,1,,2,,10,,,-,2,,11,,10,,WISCONSIN,,20214219,POINT (-89.732969 44.639954)
IDAHO,2021,42,,-,0,,,-,,-,,-,1,,1,,18,,,-,0,,,-,,-,IDAHO,,20214251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,42,,-,0,,,-,,-,,-,0,,,-,1,,,-,0,,,-,6,,VIRGIN ISLANDS,,20214268,POINT (-64.840836 18.060868)
MICHIGAN,2021,42,,-,1,,2,,4,,,-,3,,18,,16,,,-,3,,26,,38,,MICHIGAN,,20214217,POINT (-85.730977 44.874798)
GEORGIA,2021,42,,-,0,,,-,4,,2,,19,,317,,469,,,-,8,,79,,89,,GEORGIA,,20214232,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,42,,-,1,,1,,2,,,-,6,,68,,33,,2,,8,,34,,16,,,NEW YORK CITY,20214212,
TOTAL,2021,25,6,,10,,103,,85,,33,,223,,2469,,4721,,9,,88,,687,,966,,,TOTAL,20212570,
US RESIDENTS,2021,25,6,,10,,103,,85,,33,,223,,2468,,4706,,9,,88,,686,,963,,,US RESIDENTS,20212501,
NEW HAMPSHIRE,2021,25,,-,0,,,-,,-,,-,1,,2,,25,,,-,0,,,-,,-,NEW HAMPSHIRE,,20212506,POINT (-71.57139 43.680429)
NEW YORK,2021,25,,-,2,,6,,1,,,-,15,,82,,105,,,-,4,,5,,12,,NEW YORK,,20212511,POINT (-75.59655 42.921241)
PACIFIC,2021,25,5,,6,,49,,38,,,-,12,,52,,400,,1,,6,,43,,59,,,PACIFIC,20212557,
WEST SOUTH CENTRAL,2021,25,,-,2,,7,,4,,11,,50,,612,,454,,,-,5,,20,,71,,,WEST SOUTH CENTRAL,20212543,
NEBRASKA,2021,25,1,,2,,2,,1,,,-,1,,3,,2,,,-,0,,,-,,-,NEBRASKA,,20212525,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,25,,-,3,,6,,10,,3,,42,,420,,815,,1,,12,,120,,181,,,EAST SOUTH CENTRAL,20212538,
NORTH DAKOTA,2021,25,,-,1,,1,,,-,,-,1,,1,,1,,,-,1,,,-,1,,NORTH DAKOTA,,20212526,POINT (-100.46931 47.446305)
NEVADA,2021,25,,-,1,,,-,,-,,-,2,,1,,14,,,-,3,,6,,3,,NEVADA,,20212553,POINT (-114.916992 39.283294)
ILLINOIS,2021,25,,-,2,,2,,1,,,-,5,,35,,46,,,-,2,,4,,21,,ILLINOIS,,20212515,POINT (-89.148632 40.124144)
IOWA,2021,25,,-,1,,3,,,-,,-,1,,3,,5,,,-,2,,6,,8,,IOWA,,20212521,POINT (-93.500061 42.074659)
TEXAS,2021,25,,-,2,,3,,,-,,-,25,,142,,70,,,-,3,,3,,17,,TEXAS,,20212547,POINT (-99.317341 31.447238)
ALASKA,2021,25,,-,0,,,-,,-,,-,1,,1,,,-,,-,1,,2,,3,,ALASKA,,20212558,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,25,,-,0,,,-,,-,,-,1,,,-,2,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20212530,POINT (-77.016275 38.904785)
WASHINGTON,2021,25,,N,,NC,,N,,N,,-,6,,9,,219,,,-,2,,9,,13,,WASHINGTON,,20212562,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,25,,-,1,,1,,1,,,-,12,,43,,103,,1,,5,,28,,34,,,NEW ENGLAND,20212502,
RHODE ISLAND,2021,25,,-,0,,,-,,-,,-,1,,1,,2,,,U,,NC,,U,,U,RHODE ISLAND,,20212507,POINT (-71.534637 41.572574)
OREGON,2021,25,,-,1,,1,,1,,,-,3,,8,,14,,1,,4,,12,,9,,OREGON,,20212561,POINT (-120.605279 43.940449)
DELAWARE,2021,25,,-,0,,,-,,-,,-,2,,3,,26,,,-,1,,3,,4,,DELAWARE,,20212529,POINT (-75.452394 38.994926)
ALABAMA,2021,25,,-,0,,,-,,-,,-,29,,236,,421,,,-,4,,25,,24,,ALABAMA,,20212539,POINT (-86.844516 32.756889)
KANSAS,2021,25,,-,1,,5,,2,,,-,16,,,-,19,,,-,0,,,-,,-,KANSAS,,20212522,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,25,,-,1,,1,,,-,,-,33,,331,,136,,,-,6,,18,,54,,NORTH CAROLINA,,20212534,POINT (-79.130883 35.52603)
GUAM,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20212566,POINT (144.653198 13.3532)
NEW JERSEY,2021,25,,-,1,,,-,,-,,-,7,,20,,90,,,-,2,,,-,22,,NEW JERSEY,,20212510,POINT (-74.655514 40.110253)
NEW MEXICO,2021,25,,-,0,,,-,,-,,-,1,,4,,5,,,-,0,,,-,,-,NEW MEXICO,,20212554,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,25,,-,2,,5,,5,,3,,16,,85,,341,,2,,13,,99,,175,,,EAST NORTH CENTRAL,20212514,
TENNESSEE,2021,25,,-,3,,4,,9,,2,,6,,17,,210,,1,,6,,40,,72,,TENNESSEE,,20212542,POINT (-86.343226 35.842998)
CONNECTICUT,2021,25,,-,0,,,-,,-,,-,2,,4,,10,,,-,0,,,-,,-,CONNECTICUT,,20212503,POINT (-72.738288 41.575155)
MARYLAND,2021,25,,-,1,,,-,2,,3,,23,,39,,84,,,-,3,,9,,18,,MARYLAND,,20212533,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,25,,-,1,,1,,,-,2,,50,,260,,470,,,-,4,,24,,31,,SOUTH CAROLINA,,20212535,POINT (-80.864614 33.878572)
OKLAHOMA,2021,25,,-,0,,,-,,-,8,,0,,8,,2,,,-,1,,,-,7,,OKLAHOMA,,20212546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,25,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20212565,POINT (145.725693 15.1834)
OHIO,2021,25,,-,1,,2,,,-,3,,13,,40,,151,,2,,6,,50,,68,,OHIO,,20212518,POINT (-82.70936 40.415534)
MINNESOTA,2021,25,,-,0,,,-,,-,,-,2,,2,,55,,,-,1,,,-,4,,MINNESOTA,,20212523,POINT (-94.198308 46.349153)
LOUISIANA,2021,25,,-,2,,1,,,-,1,,42,,145,,275,,,-,3,,,-,21,,LOUISIANA,,20212545,POINT (-91.840238 30.921314)
HAWAII,2021,25,,-,0,,,-,,-,,-,1,,3,,4,,,-,1,,1,,5,,HAWAII,,20212560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,25,,-,2,,8,,7,,10,,102,,1041,,1847,,2,,62,,307,,325,,,SOUTH ATLANTIC,20212528,
PENNSYLVANIA,2021,25,,-,1,,,-,1,,3,,5,,22,,78,,1,,4,,17,,23,,PENNSYLVANIA,,20212513,POINT (-77.838886 40.896694)
PUERTO RICO,2021,25,,N,,NC,,N,,N,,-,0,,,-,10,,,-,0,,,-,,-,PUERTO RICO,,20212567,POINT (-66.414655 18.215692)
ARKANSAS,2021,42,,-,1,,4,,5,,3,,33,,383,,235,,,-,4,,24,,45,,ARKANSAS,,20214244,POINT (-92.439162 34.899825)
UTAH,2021,25,,-,1,,1,,3,,,-,1,,4,,9,,,-,2,,7,,7,,UTAH,,20212555,POINT (-111.678222 39.323779)
COLORADO,2021,25,,-,0,,,-,,-,,-,2,,7,,51,,,-,1,,,-,2,,COLORADO,,20212550,POINT (-105.547832 38.998552)
VERMONT,2021,25,,-,0,,,-,,-,,-,2,,4,,2,,,-,1,,1,,,-,VERMONT,,20212508,POINT (-72.662695 44.075252)
KENTUCKY,2021,25,,-,1,,2,,1,,,-,4,,22,,33,,,-,7,,50,,61,,KENTUCKY,,20212540,POINT (-85.290484 37.526683)
MAINE,2021,25,,-,0,,,-,,-,,-,12,,30,,39,,1,,5,,22,,21,,MAINE,,20212504,POINT (-69.06137 45.117911)
VIRGINIA,2021,25,,-,1,,3,,,-,,-,8,,53,,125,,,-,5,,13,,16,,VIRGINIA,,20212536,POINT (-78.666382 37.510861)
ARIZONA,2021,25,,-,3,,7,,3,,,-,3,,12,,30,,,-,1,,4,,10,,ARIZONA,,20212549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,25,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20212564,
WISCONSIN,2021,25,,-,1,,1,,,-,,-,2,,1,,4,,,-,2,,7,,6,,WISCONSIN,,20212519,POINT (-89.732969 44.639954)
IDAHO,2021,25,,-,0,,,-,,-,,-,2,,1,,9,,,-,0,,,-,,-,IDAHO,,20212551,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,25,,-,0,,,-,,-,,-,0,,,-,1,,,-,4,,,-,2,,VIRGIN ISLANDS,,20212568,POINT (-64.840836 18.060868)
MICHIGAN,2021,25,,-,1,,,-,2,,,-,3,,7,,10,,,-,2,,17,,25,,MICHIGAN,,20212517,POINT (-85.730977 44.874798)
GEORGIA,2021,25,,-,0,,,-,3,,5,,19,,211,,259,,,-,8,,47,,54,,GEORGIA,,20212532,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,25,,-,1,,,-,1,,3,,6,,46,,28,,1,,8,,21,,11,,,NEW YORK CITY,20212512,
ARKANSAS,2021,25,,-,1,,3,,4,,2,,32,,317,,107,,,-,4,,17,,26,,ARKANSAS,,20212544,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,25,,-,0,,,-,,-,1,,13,,145,,151,,,-,2,,5,,24,,MISSISSIPPI,,20212541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,25,,-,2,,2,,,-,,-,0,,,-,1,,,-,1,,1,,,-,SOUTH DAKOTA,,20212527,POINT (-100.230491 44.43614)
WYOMING,2021,25,,-,0,,,-,,-,,-,2,,1,,1,,,-,0,,,-,1,,WYOMING,,20212556,POINT (-107.55145 42.999627)
MISSOURI,2021,25,,-,3,,,-,8,,,-,7,,6,,237,,,-,2,,,-,11,,MISSOURI,,20212524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,25,,-,2,,6,,3,,6,,19,,170,,301,,2,,8,,43,,68,,,MIDDLE ATLANTIC,20212509,
CALIFORNIA,2021,25,5,,5,,48,,37,,,-,5,,31,,163,,,-,4,,19,,29,,CALIFORNIA,,20212559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,25,,-,0,,,-,,-,,-,4,,,-,64,,,-,3,,14,,31,,WEST VIRGINIA,,20212537,POINT (-80.613729 38.642579)
FLORIDA,2021,25,,-,1,,3,,2,,,-,23,,144,,681,,2,,55,,179,,117,,FLORIDA,,20212531,POINT (-82.420978 28.260731)
MONTANA,2021,25,,-,1,,,-,,-,,-,1,,,-,6,,,-,1,,2,,3,,MONTANA,,20212552,POINT (-109.645127 47.033521)
